timestamp,common_neighbor_centrality
20190120,80.05696976811193
20190121,87.6816404443737
20190123,86.75977297877458
20190128,83.44721226416291
20190129,82.92068270907387
20190130,79.54875864928192
20190220,191.469487581343
20190225,227.64375175167714
20190226,231.8188182384623
20190227,236.8646417515977
20190228,240.25514635751827
20190303,250.86035188336018
20190304,254.6869359905806
20190306,265.6133314480251
20190311,259.3799099683594
20190312,258.02220177301837
20190313,256.2420554852289
20190314,255.31342835524856
20190317,250.42819825783664
20190318,249.480794216204
20190428,316.21711883946637
20190429,316.29625504523017
20190501,316.7426328923107
20190506,314.18394300367265
20190507,313.83644438937785
20190508,313.28395869544244
20190509,312.58596380326475
20190617,323.3156902971794
20190618,323.03638956906985
20190619,323.0854383222833
20190620,326.7756334680907
20190623,326.3398172263682
20190624,325.84525056415276
20190626,324.5019120602238
20190715,320.1220678866579
20190716,321.4105775007699
20190717,322.6116498751664
20190718,323.40896667723473
20190721,323.82497192433914
20190722,324.5881469313638
20190724,326.69311284510167
20190729,329.49702212017803
20190730,328.92963221101144
20190731,327.2509602968924
20190801,327.26355391541034
20190804,330.57007655622095
20190805,331.42066178819425
20190807,332.4117908981928
20190812,333.50218275705123
20190813,334.10612275535203
20190814,333.43697348130735
20190815,330.89500718260035
20190818,329.80185934619897
20190819,329.68694355854024
20190821,328.1400510469357
20190826,330.7877890193742
20190827,331.96522256295896
20190828,332.4565034640979
20190829,332.6498389056851
20190901,331.40102685736537
20190902,330.9292002602313
20190904,335.8672074842667
20190909,338.92841820193576
20190910,339.37166454373687
20190911,340.5218188630895
20190912,337.92440138950707
20190915,336.390529753804
20190916,337.3285654525376
20190918,338.3385233727764
20190923,338.7206700962855
20190924,338.9010290601664
20190925,339.0669059999513
20190926,338.6664100493234
20190929,339.72648542704104
20190930,339.4351614331212
20191002,337.9348667856761
20191007,335.9187440983949
20191008,334.2342866922652
20191009,333.9334220669419
20191010,333.4352105634256
20191013,327.9195707723275
20191014,329.07929222382967
20191016,333.4096275330311
20191021,332.9783343042664
20191022,333.6023176655515
20191023,334.1923587042026
20191024,334.7959633221828
20191027,336.42186611062033
20191028,336.7924781520273
20191030,336.8381616076577
20191104,337.2885175919438
20191105,335.0479132233206
20191106,335.0626010259692
20191107,335.17978932883256
20191110,334.6499918658937
20191111,334.2950546736704
20191113,331.63232358482423
20191118,312.1939564328383
20200127,282.21714880040804
20200128,282.06493336758155
20200129,282.4509003450242
20200130,280.77874127757684
20200202,333.4170364794002
20200203,347.2073727769941
20200205,349.9507663766517
20200210,350.77925609937296
20200211,350.40668121255015
20200212,352.49884758737977
20200213,353.8355245203865
20200216,356.1529881215576
20200217,358.05536079007965
20200219,358.34009678660453
20200224,355.56199876505866
20200225,356.0026600011771
20200226,356.471530296195
20200227,356.6341293131725
20200301,356.5730271623322
20200302,358.47553802094467
20200304,357.9301045843964
20200309,358.5396961264343
20200310,358.27261526297906
20200311,357.5736783857515
20200312,356.7043215995008
20200315,354.63109582946146
20200316,355.5669962027677
20200318,355.92205028328897
20200323,336.9383941568601
20200324,337.53065188978445
20200325,338.0756524428472
20200326,355.782652180981
20200329,360.69363805943385
20200330,362.4722468814203
20200401,362.26848915348523
20200406,362.0523096453256
20200407,362.37161873499264
20200408,362.53618659635987
20200409,362.8556588579106
20200412,364.29824663814003
20200413,364.6853834449745
20200415,363.7547210476865
20200420,365.98780016565297
20200421,369.09323678021315
20200422,370.6283435176974
20200423,370.49272212319903
20200426,369.1777336777592
20200427,370.4656699990828
20200429,371.39108313265024
20200504,372.24573295860523
20200505,372.1562406226773
20200506,369.1270867362563
20200507,370.2537197745594
20200510,375.30216507761133
20200511,374.9699535030021
20200513,374.23840758484073
20200518,374.68548069164007
20200519,374.8036533405456
20200520,375.2871032437351
20200521,377.5224545879702
20200524,376.1919328963267
20200525,375.78709994137824
20200527,376.0500138303951
20200601,370.6172027139483
20200602,370.72883163624795
20200603,371.5260299734071
20200604,332.2221030043846
20200610,355.5535060762091
20200615,385.7845719995159
20200616,387.33163742125475
20200617,387.86706478104276
20200618,388.5843247957757
20200621,391.64631969269306
20200622,392.956931757572
20200624,389.57182537593707
20200629,393.49210246170276
20200630,391.358350715242
20200701,392.11457275426284
20200702,392.73049159178754
20200705,395.30127768816396
20200706,395.359311002994
20200708,395.5471273272923
20200713,397.63135415872455
20200714,397.1883367858482
20200715,397.22218684640535
20200716,397.4260870296588
20200719,397.30591524017416
20200720,397.5739600815689
20200722,397.45223138840805
20200727,397.4031552291063
20200728,397.84720484973286
20200729,398.19381645592324
20200730,398.0978794472378
20200802,398.5896906489968
20200803,399.0405478698371
20200805,398.1789895481142
20200810,401.1259487727957
20200811,396.7085987443821
20200812,396.10969712433473
20200813,396.1090682242477
20200816,396.63273587077646
20200817,397.16367185285503
20200819,396.14015117874754
20200824,399.0287296077849
20200825,401.4252593349733
20200826,400.1673795022499
20200827,400.8284570637677
20200830,400.33077116319646
20200831,401.61360738878705
20200902,399.6711463253535
20200907,401.3602594459932
20200908,399.12720376064374
20200909,400.64546841716566
20200910,402.1093937728635
20200913,402.56207660412497
20200914,401.29676119189867
20200916,401.8186184776104
20200921,400.85931771197494
20200922,396.00325291622
20200923,395.1853826675001
20200924,398.766931677482
20200927,400.1276794703473
20200928,399.76472189999265
20200930,398.9180157930657
20201005,408.579171309612
20201006,411.4005175531818
20201007,410.01977107455485
20201008,409.85775729052347
20201011,409.6529923436476
20201012,410.9590665600419
20201014,413.1022313584563
20201019,416.37843214062116
20201020,416.28618422482674
20201021,416.5982028764418
20201022,416.1953401224145
20201025,414.47535830246
20201026,414.2322021887903
20201102,397.8813596143217
20201103,395.12850015477187
20201104,396.49127852307146
20201105,392.59256088500246
20201108,393.3381711571616
20201109,395.4910500917923
20201117,406.2801068581795
20201118,406.34778061801944
20201119,407.4303783203368
20201122,410.8173168446091
20201123,411.84720719534613
20201201,415.22841003302256
20201202,415.1644694760312
20201203,414.9988298451932
20201206,415.9674643144561
20201207,417.27170063703835
20201215,420.24429271742264
20201216,419.9118698107913
20201220,419.3755818380574
20201221,419.7421024311093
20201229,418.5509685326119
20201230,426.5751980992017
20210103,433.24479578907005
20210104,434.10086021142354
20210112,441.2701724019054
20210113,441.79915397224937
20210117,444.7276097250484
20210126,454.25104511394323
20210127,455.72185309701445
20210131,456.4457126636533
20210209,467.9031604316173
20210210,468.14257425212065
20210214,470.51843389388097
20210223,487.86312912855794
20210224,488.11277522963775
20210228,494.7437126010746
20210309,497.97256955970676
20210310,499.3989335077873
20210314,498.79904393283533
20210323,520.4413832057356
20210324,523.3939644473804
20210328,536.7220658518401
20210406,555.7655654740284
20210407,555.572427189139
20210411,562.5443290789032
20210420,566.00344115253
20210421,566.2203339702764
20210425,567.4430986207103
20210504,583.9063228525525
20210505,586.4208239389687
20210509,595.6588047440677
20210518,608.0813829436922
20210519,608.6032799357002
20210523,609.0876653017551
20210601,622.4538093980386
20210602,624.1673389934645
20210606,632.6924274080271
20210615,649.456839490179
20210616,650.7325715649979
20210620,659.8698044214799
20210629,672.4777998884521
20210630,676.0570719836226
20210704,682.6319740778089
20210713,708.4940238908727
20210714,710.3399966805417
20210718,723.9289809336874
20210727,738.9548727393137
20210728,746.6586086762092
20210801,758.8965306810334
20210810,780.9460797126397
20210811,782.8082651082917
20210815,791.0334497263657
20210824,816.5580821788052
20210825,819.432246807495
20210829,832.6160432469139
20210907,855.2060164148564
20210908,850.8957665296288
20210912,883.8189226495666
20210921,900.4899053244478
20210926,866.6315181938918
20211010,866.9940345072674
20220222,1080.5463449005488
20220227,1123.5833135434289
20220308,1131.5314968593607
20220313,1131.5297657602894
20220322,1135.440061856719
20220327,1135.252700232394
20220405,1127.985113070427
20220410,1104.5429152593429
20220419,1107.3778583677704
20220424,1112.1771331386788
20220503,986.7591007186305
20220508,971.3961201863184
20220517,968.4267483846971
20220522,972.69573363483
20220531,977.5801933738945
20220605,972.0625273128917
20230604,909.0257645813003
20230618,925.9620960950662
20230702,804.054043845739
20230716,926.7540507762068
